Date,weighted_positive_score,weighted_neutral_score,weighted_negative_score,total,is_missing_value,Open,High,Low,Close,Adj Close,Volume,market_value
2021-07-26,0.2916314162508789,0.4965348044713737,0.2118337792777473,156557255.0,0,2191.309814453125,2428.817138671875,2177.32958984375,2233.36669921875,2233.36669921875,29614324233,2212.3382568359375
2021-07-27,0.2107605766750196,0.5554420130819976,0.2337974102429827,95554061.0,0,2230.197021484375,2316.9501953125,2154.731201171875,2298.33349609375,2298.33349609375,23067480378,2264.2652587890625
2021-07-28,0.1260899798033657,0.765071536805676,0.1088384833909582,179545758.0,0,2302.081298828125,2341.77783203125,2250.9140625,2296.54541015625,2296.54541015625,18991302378,2299.3133544921875
2021-07-29,0.1682021457239809,0.6550095502449811,0.1767883040310379,116417956.0,0,2299.011962890625,2396.451904296875,2273.40478515625,2380.956787109375,2380.956787109375,16313373113,2339.984375
2021-07-30,0.3177100478636431,0.402456184041305,0.2798337680950518,366879511.0,0,2382.545166015625,2469.704833984375,2322.337158203125,2466.96142578125,2466.96142578125,20212848934,2424.7532958984375
2021-07-31,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,2461.57568359375,2551.1611328125,2423.816162109375,2536.2099609375,2536.2099609375,18001710283,2498.892822265625
2021-08-01,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,2530.462890625,2695.429443359375,2520.931884765625,2561.85205078125,2561.85205078125,22697987055,2546.157470703125
2021-08-02,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,2557.774658203125,2665.73095703125,2511.375244140625,2610.1533203125,2610.1533203125,22162754104,2583.9639892578125
2021-08-03,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,2609.4130859375,2630.314208984375,2449.353515625,2502.349609375,2502.349609375,22696753413,2555.88134765625
2021-08-04,0.1278109972964671,0.4304526004695614,0.4417364022339713,11014107.0,0,2508.544921875,2764.443603515625,2463.469482421875,2724.619873046875,2724.619873046875,25038698173,2616.5823974609375
2021-08-05,0.194030688725966,0.5470941994545586,0.2588751118194753,81949052.0,0,2725.669677734375,2840.4306640625,2540.68408203125,2827.328857421875,2827.328857421875,31057928075,2776.499267578125
2021-08-06,0.226616524247568,0.5924586045832461,0.1809248711691859,101464856.0,0,2827.50341796875,2944.9033203125,2727.792724609375,2890.941650390625,2890.941650390625,26528577879,2859.2225341796875
2021-08-07,0.2238397856449221,0.5268267577535151,0.2493334566015627,59555762.0,0,2891.70751953125,3170.229736328125,2868.53564453125,3157.23876953125,3157.23876953125,33081467129,3024.47314453125
2021-08-08,0.2900253328841132,0.4118364690007319,0.2981381981151549,227077974.0,0,3161.232666015625,3184.60400390625,2951.747314453125,3013.732666015625,3013.732666015625,28433638008,3087.482666015625
2021-08-09,0.300726246322488,0.4270972772734241,0.2721764764040877,443028474.0,0,3012.8857421875,3185.701171875,2900.926025390625,3167.856201171875,3167.856201171875,31983260936,3090.3709716796875
2021-08-10,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,3163.050048828125,3228.940673828125,3059.22900390625,3141.691162109375,3141.691162109375,27605221710,3152.37060546875
2021-08-11,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,3142.830322265625,3269.20947265625,3122.91650390625,3164.2451171875,3164.2451171875,26729035052,3153.5377197265625
2021-08-12,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,3164.17578125,3236.314697265625,2984.1669921875,3043.414306640625,3043.414306640625,25403699845,3103.7950439453125
2021-08-13,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,3049.001220703125,3324.671630859375,3037.676025390625,3322.211669921875,3322.211669921875,23868866254,3185.6064453125
2021-08-14,0.285716238134048,0.3956541436465584,0.3186296182193935,103461358.0,0,3322.7626953125,3329.281005859375,3214.519775390625,3265.443359375,3265.443359375,19860862133,3294.10302734375
2021-08-15,0.2850302708794844,0.4590171591853104,0.2559525699352051,221706971.0,0,3266.276123046875,3320.084228515625,3117.791748046875,3310.504150390625,3310.504150390625,22166205051,3288.39013671875
2021-08-16,0.2691530344663785,0.455044574085121,0.2758023914485005,321411981.0,0,3309.422119140625,3333.994873046875,3139.778564453125,3156.509521484375,3156.509521484375,23080039949,3232.9658203125
2021-08-17,0.2449703465952054,0.4984198677343451,0.2566097856704494,333922363.0,0,3149.38037109375,3288.812744140625,2996.46826171875,3014.845947265625,3014.845947265625,25509056745,3082.1131591796875
2021-08-18,0.2486514655896156,0.5010535458446147,0.2502949885657696,302056623.0,0,3011.963623046875,3124.97607421875,2959.0283203125,3020.08984375,3020.08984375,21539248425,3016.0267333984375
2021-08-19,0.2604582573060865,0.4984966144261711,0.2410451282677422,361940416.0,0,3019.126953125,3184.435546875,2963.150146484375,3182.7021484375,3182.7021484375,19546290360,3100.91455078125
2021-08-20,0.26148570866404,0.5250726927550825,0.2134415985808775,361539468.0,0,3182.16259765625,3298.24658203125,3178.103759765625,3286.935302734375,3286.935302734375,20885619828,3234.5489501953125
2021-08-21,0.3346282744267855,0.4088632468377804,0.2565084787354341,75121049.0,0,3286.931640625,3307.3515625,3209.8662109375,3226.083984375,3226.083984375,18113977628,3256.5078125
2021-08-22,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,3226.227294921875,3272.733154296875,3142.007080078125,3242.115478515625,3242.115478515625,15983278460,3234.17138671875
2021-08-23,0.3648974732449151,0.3740377233511237,0.2610648034039611,130074340.0,0,3241.357421875,3373.38427734375,3235.851318359375,3319.25732421875,3319.25732421875,20511110509,3280.307373046875
2021-08-24,0.3462307025380871,0.4488171845980184,0.2049521128638944,303167848.0,0,3324.85546875,3358.688232421875,3154.121337890625,3172.456298828125,3172.456298828125,20131028906,3248.6558837890625
2021-08-25,0.4102851282880835,0.389349904531491,0.2003649671804254,404889009.0,0,3174.269775390625,3248.727294921875,3086.114990234375,3224.915283203125,3224.915283203125,18902728235,3199.592529296875
2021-08-26,0.4536025240751907,0.3650789254948795,0.1813185504299297,410633092.0,0,3228.747314453125,3249.6552734375,3060.228759765625,3100.325439453125,3100.325439453125,17405668117,3164.536376953125
2021-08-27,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,3096.406005859375,3281.840576171875,3064.485107421875,3270.600830078125,3270.600830078125,18489602004,3183.50341796875
2021-08-28,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,3275.1044921875,3284.845947265625,3217.403564453125,3244.4033203125,3244.4033203125,13709633698,3259.75390625
2021-08-29,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,3246.77099609375,3283.235595703125,3158.84033203125,3227.002685546875,3227.002685546875,13296586731,3236.8868408203125
2021-08-30,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,3227.192626953125,3346.5810546875,3151.444580078125,3224.374267578125,3224.374267578125,19306924485,3225.783447265625
2021-08-31,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,3227.758056640625,3466.9921875,3195.216552734375,3433.732666015625,3433.732666015625,27280502987,3330.745361328125
2021-09-01,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,3430.762451171875,3836.867431640625,3387.408447265625,3834.828125,3834.828125,30070890104,3632.7952880859375
2021-09-02,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,3825.02783203125,3830.71142578125,3726.75048828125,3790.989990234375,3790.989990234375,24387397330,3808.0089111328125
2021-09-03,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,3787.486572265625,4022.46923828125,3712.67822265625,3940.61474609375,3940.61474609375,26207765094,3864.0506591796875
2021-09-04,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,3937.91015625,3969.44873046875,3837.93115234375,3887.828369140625,3887.828369140625,20806963328,3912.8692626953125
2021-09-05,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,3886.3310546875,3979.1865234375,3838.4873046875,3952.133544921875,3952.133544921875,18371468576,3919.2322998046875
2021-09-06,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,3951.520751953125,3968.426513671875,3868.994384765625,3928.37939453125,3928.37939453125,18674691198,3939.9500732421875
2021-09-07,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,3926.527587890625,3945.314208984375,3062.222412109375,3426.394287109375,3426.394287109375,39131346397,3676.4609375
2021-09-08,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,3428.378173828125,3559.121337890625,3224.764892578125,3497.315185546875,3497.315185546875,31738430771,3462.8466796875
2021-09-09,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,3452.54833984375,3562.99267578125,3400.51708984375,3427.340087890625,3427.340087890625,24118055831,3439.9442138671875
2021-09-10,0.2883326609298745,0.4303622864446827,0.2813050526254427,227365973.0,0,3425.56494140625,3512.5712890625,3157.05908203125,3211.505859375,3211.505859375,22355974097,3318.535400390625
2021-09-11,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,3209.030517578125,3346.5263671875,3208.9619140625,3270.278076171875,3270.278076171875,18627122934,3239.654296875
2021-09-12,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,3270.291748046875,3462.46826171875,3235.109375,3410.134521484375,3410.134521484375,16810411424,3340.213134765625
